epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.848,0.86369,3.71545,1.19666,0.00211,0.98856,0.08148,0.05959,0.56317,3.72949,0.89984,0.00012138,0.00012138,0.00012138
2,155.413,0.78172,3.29145,1.1369,0.00283,0.97676,0.1521,0.12211,0.67417,3.48626,0.97189,0.000241653,0.000241653,0.000241653
3,227.594,0.85499,2.8476,1.19634,0.33136,0.27499,0.23902,0.18122,0.75172,3.01866,1.0476,0.000353444,0.000353444,0.000353444
4,294.83,0.87344,2.45191,1.21012,0.19694,0.41303,0.30941,0.21296,0.75929,2.84603,1.03978,0.000456753,0.000456753,0.000456753
5,363.677,0.86822,2.25105,1.20607,0.25926,0.39367,0.27254,0.18797,1.04146,3.39812,1.36217,0.000551579,0.000551579,0.000551579
6,428.365,0.87401,2.14747,1.19088,0.34345,0.53703,0.32326,0.22709,1.03094,3.23152,1.21768,0.00059619,0.00059619,0.00059619
7,492.945,0.87716,2.05434,1.20138,0.3914,0.47238,0.36709,0.24657,0.96533,3.28533,1.1445,0.000572628,0.000572628,0.000572628
8,557.555,0.87639,2.01551,1.18662,0.49258,0.43935,0.43512,0.30153,0.86911,2.49149,1.10414,0.000549066,0.000549066,0.000549066
9,627.484,0.83781,1.93201,1.16621,0.4451,0.53049,0.48237,0.32143,0.92647,2.4954,1.20416,0.000525504,0.000525504,0.000525504
10,692.78,0.82484,1.82524,1.1549,0.33515,0.61735,0.43098,0.33612,0.73168,2.35339,1.02264,0.000501942,0.000501942,0.000501942
11,759.894,0.82665,1.75234,1.14863,0.48743,0.57102,0.48337,0.3724,0.83158,2.00164,1.08872,0.00047838,0.00047838,0.00047838
12,825.733,0.78114,1.69357,1.1284,0.40424,0.55009,0.46783,0.3533,0.73631,2.10114,1.02373,0.000454818,0.000454818,0.000454818
13,891.875,0.7811,1.62459,1.12944,0.44448,0.61448,0.51792,0.40054,0.76019,2.30141,1.0516,0.000431256,0.000431256,0.000431256
14,957.483,0.75002,1.57144,1.11031,0.34445,0.62143,0.48949,0.38026,0.81942,2.18805,1.12977,0.000407694,0.000407694,0.000407694
15,1022.93,0.74001,1.48904,1.1075,0.48755,0.71166,0.5839,0.46579,0.69207,1.7944,0.98477,0.000384132,0.000384132,0.000384132
16,1088.7,0.72186,1.44002,1.09132,0.43567,0.74654,0.6003,0.48055,0.67995,1.75392,0.98548,0.00036057,0.00036057,0.00036057
17,1155.87,0.7072,1.39042,1.08349,0.54522,0.62177,0.63727,0.48519,0.74973,1.80898,1.06333,0.000337008,0.000337008,0.000337008
18,1221.05,0.71855,1.3955,1.08526,0.51621,0.68915,0.60702,0.49391,0.72725,1.77725,1.03599,0.000313446,0.000313446,0.000313446
19,1288,0.69269,1.33788,1.07201,0.56688,0.69839,0.66089,0.54848,0.69944,1.51594,0.98403,0.000289884,0.000289884,0.000289884
20,1353.61,0.67848,1.28396,1.07101,0.50519,0.64354,0.60234,0.48272,0.78388,1.75963,1.06014,0.000266322,0.000266322,0.000266322
21,1418.27,0.47701,1.23803,0.91161,0.58015,0.64792,0.61286,0.48763,0.7035,1.75499,1.02872,0.00024276,0.00024276,0.00024276
22,1483.04,0.4826,1.13853,0.91037,0.54315,0.7582,0.62718,0.49884,0.70976,1.51269,1.03625,0.000219198,0.000219198,0.000219198
23,1547.78,0.4582,1.07698,0.90836,0.5399,0.71908,0.64848,0.53226,0.67309,1.68546,0.9828,0.000195636,0.000195636,0.000195636
24,1616.09,0.43282,0.95981,0.8978,0.52117,0.70863,0.63959,0.52766,0.65832,1.60028,0.98789,0.000172074,0.000172074,0.000172074
25,1681.63,0.43178,0.88954,0.89924,0.54325,0.77999,0.67022,0.55395,0.65649,1.42306,0.99637,0.000148512,0.000148512,0.000148512
26,1746.1,0.39646,0.82179,0.88055,0.56084,0.75142,0.66076,0.55461,0.60565,1.46913,0.97433,0.00012495,0.00012495,0.00012495
27,1811.55,0.3842,0.79838,0.88255,0.5621,0.72929,0.66979,0.56447,0.62942,1.5435,1.00181,0.000101388,0.000101388,0.000101388
28,1876.19,0.37342,0.79369,0.86616,0.54296,0.74834,0.68779,0.5745,0.59115,1.4987,0.96607,7.7826e-05,7.7826e-05,7.7826e-05
29,1947.72,0.36231,0.73708,0.87162,0.60677,0.65558,0.66878,0.56729,0.57497,1.53524,0.95828,5.4264e-05,5.4264e-05,5.4264e-05
30,2021.33,0.34379,0.71387,0.86619,0.55371,0.7151,0.67076,0.56799,0.58267,1.48492,0.96731,3.0702e-05,3.0702e-05,3.0702e-05
